hash_name,transcription,age,gender,first_language,socioeconomic_bkgd,ethnicity,audio_dur,model_transcription
b473df3459cbdb3a6f52aeb8fc4ffa04,hey facebook share the video to my father,23 - 30,female,English,Low,"Asian, South Asian or Asian American",,hey Facebook shared a video to my father
9354446bd6fd89b0d21fbf40d9207514,hi dear i am very much frustrated about these screens and like i am having like bugs problem in my house but it is not getting done like soon and my kids also having trouble with this so please get it done as soon as possible thank you and the other way is i am really frustrated how slow your maintenance procedure is i am sending through email messages and all and i am not getting any solution for it thank you,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",40.4263125,hi there I am very much frustrated about these screens and like uh I am having like bugs problem in my house but it is not getting done like soon and my kids also having trouble with this so please get it done as soon as possible thank you and the other way is I am really frustrated how slow your maintenance procedure is I am sending you email messages and all and I am not getting any solution for it thank you
646476ccb1600967617ac069225bd38d,hi love i was just talking to my friend and we were just discussing random things and she just mentioned the fact that it is impossible for most people to touch their elbows with their tongue and i found it so funny let's try it with the kids tonight and see if any of us can touch our elbows with our tongue bye,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",33.407625,hi love I was just um talking to my friend and uh we were just discussing random things and she just mentioned the fact that it is impossible for most people to touch their elbows with their tongue um and I found it so funny let's try it with the kids tonight and see if any of us can touch our elbows with our tongue by
54f999c8833022f986e79c51a085592f,reply back to george the second saying hey random fact there is no way that baby whales consume two hundred liters of milk a day finish text message send,31 - 45,male,English,Low,"Hispanic, Latino, or Spanish",29.247625,reply back to George II saying hey random fact there is no way that baby whales consume 200 liters of milk a day finish text message send
1485f39500388c731f2f432884e7e6db,hi you just called me and i was really shocked that you lost your pet yesterday and it was my favorite too and he was very very sweet i understand how much you'll be feeling bad today just just take some time and everything will be ok,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",28.821,hi uh you just called me and I was really shocked that you lost your pet yesterday and it was my favorite too and he was very very sweet I understand how much you will be feeling bad today just just take some time and everything will be okay
e2c871fffed7fa134dc0cfa5c30e8f4f,hi monica how have you been hey i was thinking of catching a movie this weekend with you um message me back uh if you have some time uh on hand this weekend let's see if we can figure it out bye,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",24.6183125,hi Monica how have you been hey I was thinking of catching a movie this weekend with you um message me back uh if you have some time uh on hand this weekend let's see if we can figure it out bye
11ca4c562b728a89242e3a75fc0ba4c7,hello all i will start my topic here and i will be fast because i have only five minutes to finish all the important points so get ready with pen and a paper so that you can write down all the important points here thank you,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",23.125,hello all I will start my topic here and I will be fast because I have only 5 minutes to finish all the important points so get ready with the pen and paper so that you can write down all the important points here thank you
675845c14ccd6e19b1e00850b22aed87,hey wanted to confirm with you that uh based on our earlier discussion i will be joining you for the wedding of a common friend at the local church see you on saturday at nine at my place we both shall go together or i can come and give you a ride and pick you up from your place,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",21.781,hey wanted to confirm with you that uh based on our earlier discussion I will be joining you for the wedding of a common friend at the local church see you on Saturday at 9 at my place we both shall go together or I can come and give you a ride and pick you up from your place
02cf0fd41613b1de96e1902f90e8d1eb,hi x i heard about that you lost your elder sibling a month ago i i am so sorry about your loss and i hope he will rest in peace just let me know if you want me with anything,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",21.3543125,hi X I heard about that you lost your Elder sibling a month ago I I am so sorry about your loss and I hope he will rest in peace just let me know if you want me with anything
01c53b0607f9be1521d8e715848722dc,learning new skills have been something i always like to have or like to admire to have it's been so fun for me learning cloud computing and cybersecurity i can't wait to share the knowledge with you guys,31 - 45,male,English,Medium,Black or African American,20.2,learning new skills have been something I always like to have or like to admire to have it's been so fun for me learning cloud computing and cyber security I can't wait to share the knowledge with you guys
eb7941dde4f883c899f0b6dbc626a342,hey facebook text tina on messenger saying let's meet for drinks my treat i just became an aunt it's so surreal i'm so happy reply bye,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",20.1383125,hey Facebook text Tina on messenger saying let's meet for drinks my treat I just became an aunt it is so surreal I am so happy reply bye
6b36165c00a28c2ec2b3b6f32c1650a1,just  wanted to let you know that i had some errands come up and i'm running late for our meeting but i'll sure join you a bit later maybe thirty or forty-five minutes later from a prior scheduled time hope to see you soon thank you,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",19.711625,just wanted to let you know that I had some errands come up and I'm running late for our meeting but I'll share join you a bit later maybe 30 or 45 minutes later from our prior scheduled time hope to see you soon thank you
74df566ac2570b70a0efe9e48c939685,hey millie i got your voice message um i understand and i've heard you and i will think about what you have said ok take care,31 - 45,female,English,Low,Black or African American,19.455625,hey Millie I got your voice message um I understand and I've heard you and I will think about what you have said okay take care
9c6276ba9bb1e49b45909fc93296591f,hi x many many happy returns of the day and you'll get all your dreams come true this year and i wish you all the very best in your future endeavors also enjoy your day today,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",19.327625,hi X many many happy returns of the day and you will get all your dreams come true this year and I wish you all the very best in your future endeavors also enjoy your day today
0a3a603be58bb1aa34817dcab7897399,hey family member this is to confirm that i'll be picking you up from the chinese restaurant next to kroger a mile from my house on lawrenceville highway and beaver ruin road around two pm today,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",19.3063125,hey family member this is to confirm that I will be picking you up from the Chinese restaurant next to Kroger a mile from my house on Lawrenceville Highway and Beaver Ruin Road around 2:00 p.m. today
28ff78c5a1e6145c95e8ad56c5b5953c,hey facebook text dad hi dad how you doing i saw your message earlier according to your text message yes i will be coming on saturday to see you and mom tell mom i will be coming i will see you guys bye,31 - 45,female,English,Medium,Black or African American,19.16,hey Facebook text that hi Dad how you doing I saw your message earlier uh according to your text message yes I I'll be coming on Saturday to see you and Mom tell Mom I'll be coming I'll see you guys bye
8d8d25f31d25149097da55a79ee029a1,hi i just want to call and let you know that i can't make it to dinner tonight but hopefully you know if ok with you howard going to lunch tomorrow thank you just call me and let me know soon alright,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",18.9223125,hi I just want to call and let you know that uh I can't make it to dinner tonight but hopefully you know if okay with you how about going to lunch tomorrow thank you just call me and let me know soon all right
6db66c1f5c089560fe8b06b670509525,who is singing this song right now what is playing right now who sings this particular song what is playing right now,18 - 22,male,English,Low,"Native American, American Indian, or Alaska Native",18.68,who is singing the song right now what is playing right now who sings this particular song what is playing right now
5f1634a6af2e6effbb74025df8e12397,i just wanted to let you know that i won't be able to meet you as per earlier plans this evening i have some urgent engagements that i have to attend to and i'm very sorry for not being able to do this but hopefully we'll make it up to you sometime later thanks,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",18.559625,I just wanted to let you know that uh I won't be able to meet you as per our earlier plans this evening I have some urgent engagements that I have to attend to and I'm very sorry for not being able to do this but hopefully we'll make it up to you sometime later thanks
89e4bc6279904eccd599113edb34862b,hey monica it's been a while i'm just checking to see if you have some time this weekend let's get together um maybe go to a go to the park for a little walk uh let's catch up bye,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",18.2823125,hey Monica it's been a while I'm just checking to see if you have some time this weekend let's get together um maybe go to a go to the park for a little walk uh let's catch up by
2b3501f8e0cc80121812109c02dd0d92,hi my first name is x and last name is y i would like to talk Mr z regarding the bill i received yesterday for my medical insurance,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",18.047625,hi my name is first name is X and last name is by I would like to talk Mr Z regarding the bill I received yesterday for my medical insurance
edd97f7aa38d49a472cb3049c38c62ea,hi ex i hope you will enjoy the festival of light this year very well with your family i hope you enjoy your fireworks and have a prosperous diwali this year,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",17.279625,hi X I hope you will enjoy the festival of light this year very well with your family I hope you enjoy your fireworks and have a prosperous Diwali this year
a960b5a3ffd7535a28927f514573fd49,reply by text to britney saying i just brought us the tickets for skydiving we are going to do this this is so crazy hit back to me asap,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",17.109,reply by text to Brittany saying I just bought us the tickets for skydiving we are going to do this this is so crazy get back to me ASAP
04c5d9a1d462936858f6c454f9c2a1b9,hi family member this is to confirm that i'll be picking you up from the doctor's office as soon as your appointment ends on mountain industrial boulevard and lawrenceville highway around one pm this afternoon,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",16.831625,Hi family member this is to confirm that I will be picking you up from the doctor's office as soon as your appointment ends on Mountain Industrial Boulevard and Lawrenceville Highway around 1:00 p.m. this afternoon
cbfa9c225bef33fec752dbf23ebec292,hi x we went to grand canyon yesterday and it was a beautiful weather and beautiful day so i missed you a lot i wish you can be there with me,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",16.831625,hi X we went to Grand Canyon yesterday and it was a beautiful weather and beautiful day so I missed you a lot I wish you can be there with me
7dbeee99c517866b178270ad2cc639c4,hey facebook on my tablet i open the google photo apps i sign in to the google account i tap on all the photo i want to move to the trash at the top i tap delete,31 - 45,female,English,Low,Black or African American,16.4,a Facebook on my tablet I'll open the Google photo apps I sign into the Google account I tap and hold the photo I want to move to the trash at the top I tap delete
4d7257e180654cb89dc53ce0fe840c13,hey hex is saying that he got a new job there oh this is such a really nice news i would love to talk to him very soon,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",16.255625,hey hex is saying that he got a new job there oh this is such a really nice news I would love to talk to him very soon
d717b49484691712837bfc2d6ca256a0,hi x a very very happy birthday to you i wish i can be there with you for your special day but i have a urgent meeting today i hope you will enjoy your day,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",15.893,hi it's a very very happy birthday to you I wish I can be there with you for your special day but I have a urgent meeting today I hope you will enjoy your day
19d046cb0c2d26f022fa98489a56470c,hi ex a very very happy birthday to you and many many happy returns of the day i hope you will enjoy this day and you will have a good yummy cake,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",15.871625,hi x a very very happy birthday to you and many many happy returns of the day I hope you will enjoy this day and you will have a good yummy cake
b898059212db21d8c1706a6ee09b32c7,hey comma i was just thinking about you period i thought i should send you a message period i hope you are doing well exclamation mark,23 - 30,female,English,Low,"Native American, American Indian, or Alaska Native",15.743625,hey Karma I was just thinking about you period I thought I should send you a message period I hope you are doing well exclamation mark
41249a2a1abf6f2e01d46b80cef5fb2f,hey facebook message tina on messenger saying what are you wearing to the party on saturday help me,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",15.445,hey Facebook message Tina on messenger saying what are you wearing to the party on Saturday help me
4ea1b0473ba6e0dd0c82b5bd49d777c9,message tina saying we should meet asap i just heard something about britney reply as you get this,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",14.8903125,message Tina saying we should meet ASAP I just heard something about Britney reply as you get this
1c80e7de83679fe01a222d007ebcc3d6,text jeremy do you know why the chicken crossed the road the answer is to be my other side chick,31 - 45,male,English,Low,"Native American, American Indian, or Alaska Native",14.72,text Jeremy do you know why the chicken crossed the road the answer is to be my other side chick
d421882b8e88e6599520eae03115d3fc,hey monica it would be wonderful if you can send all the details about the cake and the cupcakes on the group text thanks,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",14.677,hey Monica it would be wonderful if you can send all the details about the cake and the cupcakes on the group text thanks
e8f9d7092e2a91a73548a6644cfcf48c,text amy back and tell her that any time after six pm is good should we meet at the park or at the movies,23 - 30,female,English,Low,"Asian, South Asian or Asian American",14.32,text Amy back and tell her that anytime after 6:00 p.m. is good should we meet by the park or at the movies
3e86380e7f3895b0f5ba65844d534826,hey facebook send a message on messenger to the babes group what should be the theme for the party,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",14.143625,hey Facebook send a message on messenger to the babes group what should be the theme for the party
df89ad050c0e77d42791d9595c82a2cb,hey i just wanted to let you know that i had a flat tire and i had to fix you know my tire and make some repairs so i am running about thirty to forty minutes late but i will see you soon,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",13.951625,hey I just wanted to let you know that I had a flat tire and I had to fix uh you know my tire and make some repairs so I'm running about 30 to 40 minutes late but I will see you soon
4af0af2d29cab8e0c015f53cc392b2fb,hey facebook increase alexa's volume by forty percent,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",13.567625,hey Facebook increase Alexa's volume by 40%
db25601d5fa463722b490736d27f8f58,hey facebook share my video i shot yesterday to close friends only on instagram,46 - 65,female,English,Medium,Black or African American,13.311625,hey Facebook share my video I shot yesterday too close friends only on Instagram
d01cf8b77517ce9d8efbeebe29634525,for unmute my smartwatch i did silent mode off and for mute i did silent mode on that is my preferred way,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",13.183625,for a new my smart watch I did silent mode of and for mute I did silent mode on that is my preferred way
47ecf46fbba2fcc6adae18f77a64ae9a,to mute my smartwatch i just shut it down and for unmute i switch it on back,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",13.141,to mute my SmartWatch I just shut it down and for unmute I switch it on back
be5e0a64e453c73391b6045a025f33c8,hey facebook increase the volume on google home by two points,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",13.0983125,hey Facebook increase the volume on Google home by 2 points
0c248ff8b4b4a5b8e77fcb607347c9f1,hey you all i'm just planning to go to a chinese restaurant this evening so i'm just wondering that if you guys are interested in it,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",12.0743125,here you all I am just planning to go to a Chinese restaurant this evening so I am just wondering that if you guys are interested in it
43319b1b1b635df532911aea051a0eeb,hi ex i'm missing you these days a lot when i'm alone i wish you'll be here when i need you,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",11.8183125,hi X I am missing you these days a lot when I am alone I wish you will be here when I need you
4c40640da10a32e7ad3dcac03ff8bac8,this topic ends here and we all will meet with a new topic soon thank you and have a good day,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",11.797,this topic ends here and we all will meet with a new topic soon thank you and have a good day
ef8048eede9ffb3a16a7e8fc8f4ea83f,hi x a very very happy diwali to you and your family and i wish you will get prosperous diwali this year,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",11.775625,hi x a very very happy Diwali to you and your family and I wish you will get prosperous Diwali this year
47e8f49921b8f2e9f04b8d6fcd86cdca,hey facebook share my latest video to my close friends only on my instagram story did it post thank you,23 - 30,female,English,Low,"Native American, American Indian, or Alaska Native",11.72,hey Facebook share my latest video to my close friends only on my Instagram story did a post thank you
dadc2e9e34805a1e68ee7d79be331675,hello everybody how was your day today let's start this session about the wellness of our health,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",11.711625,hello everybody how's your day today let's start this session about the wellness of our health
0938c13b8a1f89ccddab7e9d9d0e26f5,hey facebook respond to incoming text message with i'll get back to you later thanks,46 - 65,male,Urdu,Affluent,"Asian, South Asian or Asian American",11.647625,hey Facebook respond to incoming text message with our get back to you later thanks
07ee16626c1d6a312256a048e066da8a,hey facebook are you able to mute my notifications for me,31 - 45,female,Hindi,Affluent,"Asian, South Asian or Asian American",11.605,hey Facebook are you able to mute my notifications for me
a8789bc864ce57efb65aac9c15d80054,hey facebook text emily back saying we will be at the party,46 - 65,male,English,Low,White,11.6,hey Facebook text Emily back saying we will be at the party
de0813513fc78f1ee252a4214e23cf94,hi ex i missed you a lot at the dinner time yesterday because i cooked pasta and i know you love it a lot,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",11.285,IX I missed you a lot at the dinner time yesterday because I cooked pasta and I know you love it a lot
49d135934af4073446d1c6c22f803ef2,send message to janet happy birthday exclamation mark send,31 - 45,female,English,Low,"Native American, American Indian, or Alaska Native",11.28,send message to Janet happy birthday exclamation mark send
4ba9fe88416ddcaa0989047bd3b1548b,text jane hey did you hear that amber is pregnant with twins exclamation point question mark exclamation point question mark,31 - 45,female,English,Low,White,11.16,text Jane hey did you hear that Amber is pregnant with twins exclamation point question mark exclamation point question mark
2e30fa2914c0b7006b6e1aa5763287ef,me and ellen are going to meet for coffee would you like to join us if you'd like to join us text me back,46 - 65,male,English,Medium,Black or African American,11.1143125,me and Ellen are going to uh meet for coffee would you like to join us if you'd like to join this text me back
51a7457621887890fe98bc0f58da0b72,hello all i hope you are doing very well today we are just meeting today because of this new report,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",10.6663125,hello all I hope you are doing very well today we are just meeting today because of this new report
bfd84187ca2e1f6af277ae1e585e81b5,send message to aria i'm sorry i won't be able to collect this i'm only doing my job,18 - 22,male,Hindi,Low,"Asian, South Asian or Asian American",10.52,send message to Arya I'm sorry I won't be able to collect this I'm holding doing my job
2219fe903796f0dca1c62ecd823812ee,hey facebook open messenger app and send kiana loui and kim a message to meet lunch at eleven thirty at the avalon,31 - 45,female,English,Affluent,"Asian, South Asian or Asian American",10.495625,hey Facebook open messenger app and send Cana Louie and Kim a message to meet lunch at 11:30 at the Avalon
dd8d7d67c2da6854edddea75bd41a36b,hey could you please find my personal playlist in personal folder named my favorite playlist,31 - 45,female,Urdu,Low,"Asian, South Asian or Asian American",10.431625,hey could you please find my personal playlist in personal folder named my favorite playlist
